year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,CO,08001,,549300HW662MN1WU8550,,2082,1582,216,11.43,1286,581,215,0,0,1004,410,168,0,0,national
2025,CO,08001,,549300FGXN1K3HLB1R50,,978,719,158,5.2,740,164,74,0,0,555,102,62,0,0,national
2025,CO,08001,,5493008L9O5NV7EAK360,,896,394,425,2.85,896,0,0,0,0,394,0,0,0,0,national
2025,CO,08001,,549300AQ3T62GXDU7D76,,522,354,11,2.56,359,147,16,0,0,244,100,10,0,0,national
2025,CO,08001,,5493001HHBUTXHS7TZ96,,459,337,55,2.44,170,225,64,0,0,135,157,45,0,0,national
2025,CO,08001,,5493002OVIWOKVJME308,,381,319,5,2.31,154,188,39,0,0,126,160,33,0,0,national
2025,CO,08001,,6GK3WNTSHBNJOVP1LV97,,551,317,171,2.29,510,35,6,0,0,303,10,4,0,0,national
2025,CO,08001,,549300E3QJQLKVB40W93,,549,313,97,2.26,547,0,2,0,0,312,0,1,0,0,national
2025,CO,08001,,549300H3IZO24NSOO931,,383,283,34,2.05,218,138,27,0,0,168,95,20,0,0,national
2025,CO,08001,,549300AG64NHILB7ZP05,,427,276,69,1.99,256,139,30,2,0,169,86,21,0,0,national
2025,CO,08001,,549300VZVN841I2ILS84,,382,243,21,1.76,217,153,12,0,0,132,102,9,0,0,national
2025,CO,08001,,549300ALNLUNS3Y53T24,,871,241,400,1.74,322,510,39,0,0,119,110,12,0,0,national
2025,CO,08001,,5493002QI2ILHHZH8D20,,350,237,13,1.71,159,152,39,0,0,104,104,29,0,0,national
2025,CO,08001,,5493009V3WNJX9V2GZ85,,392,232,87,1.68,391,1,0,0,0,232,0,0,0,0,national
2025,CO,08001,,549300748YYU6VG08N83,,332,221,11,1.6,113,219,0,0,0,68,153,0,0,0,national
2025,CO,08001,,549300E2UX99HKDBR481,,354,197,19,1.42,199,135,20,0,0,121,66,10,0,0,national
2025,CO,08001,,549300GKFNPRWNS0GF29,,278,184,9,1.33,161,63,23,31,0,103,43,13,25,0,national
2025,CO,08001,,549300MGPZBLQDIL7538,,262,182,12,1.32,185,65,12,0,0,123,49,10,0,0,national
2025,CO,08001,,549300U3721PJGQZYY68,,299,165,21,1.19,203,84,12,0,0,109,49,7,0,0,national
2025,CO,08001,,RVDPPPGHCGZ40J4VQ731,,309,163,40,1.18,186,89,34,0,0,99,49,15,0,0,national
2025,CO,08001,,549300LYRWPSYPK6S325,,326,152,28,1.1,40,155,131,0,0,15,67,70,0,0,national
2025,CO,08001,,54930067MGJBFNEN1P47,,235,144,30,1.04,221,10,4,0,0,132,9,3,0,0,national
2025,CO,08001,,5493001SXWZ4OFP8Z903,,222,141,38,1.02,103,100,19,0,0,65,64,12,0,0,national
2025,CO,08001,,6BYL5QZYBDK8S7L73M02,,363,138,166,1.0,358,2,3,0,0,134,1,3,0,0,national
2025,CO,08001,,549300FNXYY540N23N64,,362,134,77,0.97,226,96,40,0,0,73,37,24,0,0,national
2025,CO,08001,,549300LBCBNR1OT00651,,182,129,21,0.93,156,19,7,0,0,112,12,5,0,0,national
2025,CO,08001,,549300PC4MFWQBNVKG88,,147,125,1,0.9,101,37,9,0,0,88,29,8,0,0,national
2025,CO,08001,,549300ABEFRFKC9S8368,,205,123,49,0.89,205,0,0,0,0,123,0,0,0,0,national
2025,CO,08001,,7H6GLXDRUGQFU57RNE97,,209,116,25,0.84,199,8,2,0,0,111,4,1,0,0,national
2025,CO,08001,,254900DTLHVWQ7NP7R34,,182,113,20,0.82,150,24,8,0,0,95,13,5,0,0,national
2025,CO,08001,,549300XQVJ1XBNFA5536,,712,113,415,0.82,712,0,0,0,0,113,0,0,0,0,national
2025,CO,08001,,549300PIL8LFAQ04XC20,,319,112,157,0.81,319,0,0,0,0,112,0,0,0,0,national
2025,CO,08001,,549300RN01LBYR8ZVX74,,143,109,11,0.79,79,58,6,0,0,68,38,3,0,0,national
2025,CO,08001,,5493003GQDUH26DNNH17,,236,102,51,0.74,182,0,54,0,0,75,0,27,0,0,national
2025,CO,08001,,549300LG5340S24M4N89,,144,102,25,0.74,144,0,0,0,0,102,0,0,0,0,national
2025,CO,08001,,549300RWXIW3CFTANH88,,143,93,25,0.67,143,0,0,0,0,93,0,0,0,0,national
2025,CO,08001,,549300XWUSRVVOHPRY47,,153,93,9,0.67,106,43,4,0,0,59,30,4,0,0,national
2025,CO,08001,,549300RFLICNI75BG067,,125,90,7,0.65,66,53,6,0,0,45,40,5,0,0,national
2025,CO,08001,,549300UI36AJZ0WZ4U93,,121,88,11,0.64,52,54,15,0,0,37,38,13,0,0,national
2025,CO,08001,,5493007VW2EU20PZYU97,,107,83,10,0.6,27,70,10,0,0,22,51,10,0,0,national
2025,CO,08001,,549300DD4R4SYK5RAQ92,,113,81,1,0.59,84,23,6,0,0,58,18,5,0,0,national
2025,CO,08001,,2549004FXPNKCLIN8250,,109,79,0,0.57,67,40,2,0,0,51,26,2,0,0,national
2025,CO,08001,,549300GYQ8ZT1NUXRM52,,158,78,53,0.56,156,2,0,0,0,77,1,0,0,0,national
2025,CO,08001,,FU7RSW4CQQY98A2O7J66,,133,76,31,0.55,111,18,4,0,0,61,12,3,0,0,national
2025,CO,08001,,254900ZFWS2106HWPH46,,115,74,5,0.53,59,51,5,0,0,39,32,3,0,0,national
2025,CO,08001,,549300370QILXLFUWD20,,93,71,4,0.51,69,14,10,0,0,55,8,8,0,0,national
2025,CO,08001,,2WHM8VNJH63UN14OL754,,147,70,55,0.51,146,0,1,0,0,69,0,1,0,0,national
2025,CO,08001,,8WH0EE09O9V05QJZ3V89,,123,70,42,0.51,122,1,0,0,0,70,0,0,0,0,national
2025,CO,08001,,5493004WMLN60ZJ2ON46,,87,68,12,0.49,45,27,15,0,0,39,16,13,0,0,national
2025,CO,08001,,3Y4U8VZURTYWI1W2K376,,166,66,70,0.48,161,4,1,0,0,64,1,1,0,0,national
2025,CO,08001,,549300CB67L6KPJLHE19,,298,66,152,0.48,298,0,0,0,0,66,0,0,0,0,national
2025,CO,08001,,549300DD5QQUHO6PCH70,,195,65,50,0.47,16,5,174,0,0,2,1,62,0,0,national
2025,CO,08001,,254900RNV63A0TIZNK90,,87,64,1,0.46,58,14,7,8,0,45,9,4,6,0,national
2025,CO,08001,,549300FVD3YHE65PKH97,,82,61,2,0.44,41,41,0,0,0,31,30,0,0,0,national
2025,CO,08001,,AD6GFRVSDT01YPT1CS68,,156,61,64,0.44,154,1,1,0,0,59,1,1,0,0,national
2025,CO,08001,,5493001GCBD5XGNIC815,,213,59,2,0.43,213,0,0,0,0,59,0,0,0,0,national
2025,CO,08001,,2549008TT6UNYR7AXF54,,83,57,1,0.41,63,13,7,0,0,44,8,5,0,0,national
2025,CO,08001,,549300278QYT0O65D265,,108,57,21,0.41,108,0,0,0,0,57,0,0,0,0,national
2025,CO,08001,,5493008N1D96CHCTQC27,,74,53,10,0.38,74,0,0,0,0,53,0,0,0,0,national
2025,CO,08001,,549300RPOGWJRH63HS39,,76,52,3,0.38,61,11,3,1,0,45,5,2,0,0,national
2025,CO,08001,,549300T9P3WXNMXX0I34,,73,50,1,0.36,29,36,8,0,0,19,25,6,0,0,national
2025,CO,08001,,549300OPCWU6E72WUT29,,78,49,13,0.35,28,41,9,0,0,18,24,7,0,0,national
2025,CO,08001,,5493000OIGWIS24A1547,,62,48,3,0.35,31,22,9,0,0,25,17,6,0,0,national
2025,CO,08001,,549300WKFR15017V9850,,72,48,2,0.35,53,16,3,0,0,37,8,3,0,0,national
2025,CO,08001,,254900UL88QFG0E40516,,108,47,36,0.34,108,0,0,0,0,47,0,0,0,0,national
2025,CO,08001,,54930021WPEXNHYZUL09,,62,47,11,0.34,35,18,9,0,0,27,11,9,0,0,national
2025,CO,08001,,549300NOCASXPA34X033,,208,45,117,0.33,104,76,28,0,0,26,9,10,0,0,national
2025,CO,08001,,B4TYDEB6GKMZO031MB27,,135,45,57,0.33,134,1,0,0,0,45,0,0,0,0,national
2025,CO,08001,,54930001NSTOD85LT125,,61,44,2,0.32,46,11,4,0,0,32,8,4,0,0,national
2025,CO,08001,,549300J7I82PNDVU8H22,,86,44,10,0.32,74,8,4,0,0,38,4,2,0,0,national
2025,CO,08001,,254900XZCT60J2G3HK85,,96,43,17,0.31,96,0,0,0,0,43,0,0,0,0,national
2025,CO,08001,,254900Y0J7L9XMNKTX90,,85,43,42,0.31,85,0,0,0,0,43,0,0,0,0,national
2025,CO,08001,,549300KJ8PAJ7E52HG32,,69,42,7,0.3,49,18,2,0,0,34,7,1,0,0,national
2025,CO,08001,,549300W8XIPJGDECVX07,,53,41,0,0.3,50,0,3,0,0,39,0,2,0,0,national
2025,CO,08001,,KB1H1DSPRFMYMCUFXT09,,75,40,14,0.29,68,5,2,0,0,37,2,1,0,0,national
2025,CO,08001,,5493002GI63WHHUTUD85,,42,37,0,0.27,26,7,9,0,0,23,7,7,0,0,national
2025,CO,08001,,549300XY701IELCE5Q08,,97,37,20,0.27,70,27,0,0,0,31,6,0,0,0,national
2025,CO,08001,,5493001WHVQBGRSWEU75,,55,36,13,0.26,46,5,4,0,0,31,3,2,0,0,national
2025,CO,08001,,549300MCIFZSDHUT8X63,,44,36,0,0.26,16,25,3,0,0,12,21,3,0,0,national
2025,CO,08001,,5493009OHBOFDUG78546,,74,35,32,0.25,74,0,0,0,0,35,0,0,0,0,national
2025,CO,08001,,549300UXY7OP0IC38293,,58,34,3,0.25,45,10,3,0,0,26,6,2,0,0,national
2025,CO,08001,,X05BVSK68TQ7YTOSNR22,,143,34,72,0.25,143,0,0,0,0,34,0,0,0,0,national
2025,CO,08001,,54930043BMDE130FJ617,,44,33,3,0.24,44,0,0,0,0,33,0,0,0,0,national
2025,CO,08001,,549300MZ8VZJOVC63092,,63,33,17,0.24,41,17,5,0,0,21,11,1,0,0,national
2025,CO,08001,,549300T94GSH3C4U5M59,,57,33,19,0.24,54,2,1,0,0,30,2,1,0,0,national
2025,CO,08001,,254900VHUBSJJKOMBF27,,41,32,1,0.23,22,17,2,0,0,19,13,0,0,0,national
2025,CO,08001,,254900YZ174H294JW398,,42,32,3,0.23,28,11,3,0,0,23,7,2,0,0,national
2025,CO,08001,,549300323EON4W3CCM44,,54,32,3,0.23,40,11,3,0,0,26,5,1,0,0,national
2025,CO,08001,,54930054ET8KM4O1D485,,120,31,4,0.22,116,4,0,0,0,30,1,0,0,0,national
2025,CO,08001,,549300N3JBQ15RQ7AV97,,43,30,1,0.22,36,7,0,0,0,27,3,0,0,0,national
2025,CO,08001,,549300YIQ7S7Z8PIHE53,,103,30,62,0.22,75,18,10,0,0,26,1,3,0,0,national
2025,CO,08001,,5493008VVXQIDO1EZ460,,62,29,5,0.21,37,25,0,0,0,17,12,0,0,0,national
2025,CO,08001,,549300DCGBXW5FJMV921,,29,29,0,0.21,20,9,0,0,0,20,9,0,0,0,national
2025,CO,08001,,549300HIVO8XPBPNVG69,,40,29,4,0.21,30,9,1,0,0,21,8,0,0,0,national
2025,CO,08001,,549300HV02VPA0FYR272,,43,29,2,0.21,21,22,0,0,0,14,15,0,0,0,national
2025,CO,08001,,549300121SF0K2LN2804,,33,27,0,0.2,25,5,3,0,0,21,4,2,0,0,national
2025,CO,08001,,54930052M48FOD3CWA54,,30,27,0,0.2,16,14,0,0,0,14,13,0,0,0,national
2025,CO,08001,,LDVFX8JEECFFE8HRWA73,,51,27,15,0.2,48,3,0,0,0,25,2,0,0,0,national
2025,CO,08001,,549300TYV7NDBX6FUR63,,49,26,4,0.19,16,31,1,1,0,7,18,1,0,0,national
2025,CO,08001,,254900KI7219LQKCI772,,31,25,0,0.18,25,5,1,0,0,22,2,1,0,0,national
2025,CO,08001,,HUX2X73FUCYHUVH1BK78,,60,25,28,0.18,57,3,0,0,0,23,2,0,0,0,national
2025,CO,08001,,254900TTZ395IC926125,,34,23,2,0.17,30,3,1,0,0,22,0,1,0,0,national
2025,CO,08001,,54930039IUN6515TBG78,,29,23,2,0.17,22,7,0,0,0,16,7,0,0,0,national
2025,CO,08001,,5493009NZUFSRFRWTY71,,33,23,5,0.17,33,0,0,0,0,23,0,0,0,0,national
2025,CO,08001,,549300J6N77Q8OHYNF23,,27,23,0,0.17,10,17,0,0,0,8,15,0,0,0,national
2025,CO,08001,,254900O2K17TNH5CL873,,25,22,0,0.16,25,0,0,0,0,22,0,0,0,0,national
2025,CO,08001,,E57ODZWZ7FF32TWEFA76,,42,22,7,0.16,41,1,0,0,0,22,0,0,0,0,national
2025,CO,08001,,549300NJVKCDJA5YC939,,32,21,1,0.15,23,7,2,0,0,13,6,2,0,0,national
2025,CO,08001,,549300PQLK8E48ILXV41,,35,21,4,0.15,33,2,0,0,0,21,0,0,0,0,national
2025,CO,08001,,549300SK2GVCQXPD4S58,,45,21,7,0.15,12,27,6,0,0,6,10,5,0,0,national
2025,CO,08001,,549300UHQ3UXVA4AGM53,,31,21,4,0.15,31,0,0,0,0,21,0,0,0,0,national
2025,CO,08001,,549300VCMRO4ST680C11,,71,21,15,0.15,2,38,31,0,0,0,14,7,0,0,national
2025,CO,08001,,5493006SSMPNYY3P8424,,22,20,1,0.14,22,0,0,0,0,20,0,0,0,0,national
2025,CO,08001,,549300K4ZLGS7SRDTL86,,53,20,7,0.14,1,38,14,0,0,0,16,4,0,0,national
2025,CO,08001,,549300R0DP2GXAIMGB41,,35,20,5,0.14,32,2,1,0,0,18,1,1,0,0,national
2025,CO,08001,,549300R9S3MVDV4MGF56,,83,20,42,0.14,44,30,9,0,0,10,7,3,0,0,national
2025,CO,08001,,549300RM1IZYGQDSNL85,,36,20,2,0.14,20,12,4,0,0,12,7,1,0,0,national
2025,CO,08001,,549300YN94MOAVYW0F52,,42,20,11,0.14,30,9,3,0,0,15,3,2,0,0,national
2025,CO,08001,,549300G4ESSS6M0MEG51,,31,19,0,0.14,24,6,1,0,0,14,4,1,0,0,national
2025,CO,08001,,549300S5YL3OH0IVCS62,,26,19,5,0.14,6,20,0,0,0,2,17,0,0,0,national
2025,CO,08001,,25490066WMF8ZMQXQB18,,25,18,2,0.13,25,0,0,0,0,18,0,0,0,0,national
2025,CO,08001,,549300BQPSF250Q8KQ79,,34,18,9,0.13,34,0,0,0,0,18,0,0,0,0,national
2025,CO,08001,,549300DMYENRV818D594,,25,18,0,0.13,19,5,1,0,0,14,3,1,0,0,national
2025,CO,08001,,549300YX5RPSSMR88K92,,22,18,0,0.13,22,0,0,0,0,18,0,0,0,0,national
2025,CO,08001,,7DMUJTL9FFTVIAG9H788,,24,18,3,0.13,23,0,1,0,0,17,0,1,0,0,national
2025,CO,08001,,2549002YTHQ90AS4OM73,,27,17,0,0.12,15,11,1,0,0,9,7,1,0,0,national
2025,CO,08001,,54930049L5WINET09Q97,,31,17,0,0.12,14,17,0,0,0,8,9,0,0,0,national
2025,CO,08001,,549300R7HGHP2I754087,,19,17,1,0.12,8,9,1,1,0,8,7,1,1,0,national
2025,CO,08001,,549300KIOYNU323LVJ37,,19,16,0,0.12,8,7,4,0,0,6,6,4,0,0,national
2025,CO,08001,,549300O6Z0I6KYMESL47,,26,16,0,0.12,24,2,0,0,0,14,2,0,0,0,national
2025,CO,08001,,254900WTZC5SSKIN2M11,,20,15,1,0.11,20,0,0,0,0,15,0,0,0,0,national
2025,CO,08001,,5493009B17HXCVXTD608,,20,15,0,0.11,16,4,0,0,0,11,4,0,0,0,national
2025,CO,08001,,549300JYXTZDSPJEPI44,,26,15,10,0.11,12,11,2,1,0,8,5,1,1,0,national
2025,CO,08001,,549300NB6LOZ96BDSU42,,23,15,1,0.11,17,3,3,0,0,10,2,3,0,0,national
2025,CO,08001,,549300PL267CW8182203,,32,15,6,0.11,2,14,16,0,0,2,5,8,0,0,national
2025,CO,08001,,OYWNLMHNBQQ7BAH3EE86,,27,15,9,0.11,26,1,0,0,0,14,1,0,0,0,national
2025,CO,08001,,5493001GDRY0EL7VG372,,21,14,0,0.1,14,6,1,0,0,9,4,1,0,0,national
2025,CO,08001,,54930030Z1JWTP3SVD16,,16,14,0,0.1,8,7,1,0,0,8,5,1,0,0,national
2025,CO,08001,,549300ZWNETGFXTBBY03,,21,14,1,0.1,15,2,4,0,0,9,2,3,0,0,national
2025,CO,08001,,C5654JQHZUHN0772B561,,27,14,4,0.1,15,0,12,0,0,7,0,7,0,0,national
2025,CO,08001,,254900M2C4Q6DATP2889,,31,13,5,0.09,4,21,6,0,0,1,8,4,0,0,national
2025,CO,08001,,5493002B2WMHY23GFK92,,19,13,2,0.09,10,7,2,0,0,6,5,2,0,0,national
2025,CO,08001,,5493006VAGP3GQ8FJT49,,23,13,2,0.09,23,0,0,0,0,13,0,0,0,0,national
2025,CO,08001,,549300N6Q6IC190UPB76,,26,13,7,0.09,26,0,0,0,0,13,0,0,0,0,national
2025,CO,08001,,549300Q50XCC0473FG63,,27,13,12,0.09,27,0,0,0,0,13,0,0,0,0,national
2025,CO,08001,,549300SCFWZXMDMZPE93,,16,13,0,0.09,11,4,1,0,0,9,3,1,0,0,national
2025,CO,08001,,984500U2F9A83N391A91,,31,13,10,0.09,31,0,0,0,0,13,0,0,0,0,national
2025,CO,08001,,PINLJ7T7GLTF48NFP863,,19,13,2,0.09,19,0,0,0,0,13,0,0,0,0,national
2025,CO,08001,,254900QNIR86GUIRYH95,,16,12,0,0.09,15,1,0,0,0,12,0,0,0,0,national
2025,CO,08001,,5493008CPTDVOS570626,,31,12,12,0.09,31,0,0,0,0,12,0,0,0,0,national
2025,CO,08001,,5493008NWHQT1R22C024,,29,12,5,0.09,14,13,2,0,0,5,5,2,0,0,national
2025,CO,08001,,549300CY7WNAHKHYSJ73,,14,12,1,0.09,12,0,1,1,0,10,0,1,1,0,national
2025,CO,08001,,549300FX7K8PTEQUU487,,24,12,7,0.09,19,1,4,0,0,9,0,3,0,0,national
2025,CO,08001,,549300UT4EN6IH579Q63,,14,12,1,0.09,7,7,0,0,0,6,6,0,0,0,national
2025,CO,08001,,549300XAHXRVSRML8V19,,16,12,3,0.09,4,11,1,0,0,2,9,1,0,0,national
2025,CO,08001,,VNOO6EITDJ2YUEBMSZ83,,26,12,10,0.09,24,2,0,0,0,11,1,0,0,0,national
2025,CO,08001,,213800XR2TCBQJSF1X93,,22,11,1,0.08,18,0,4,0,0,8,0,3,0,0,national
2025,CO,08001,,54930034MNPILHP25H80,,12,11,0,0.08,9,3,0,0,0,8,3,0,0,0,national
2025,CO,08001,,549300AENO88GEUWCZ39,,19,11,1,0.08,10,7,2,0,0,8,3,0,0,0,national
2025,CO,08001,,549300BJPOL64WXEFY56,,16,11,3,0.08,16,0,0,0,0,11,0,0,0,0,national
2025,CO,08001,,549300KSOOZZVXCMA627,,16,11,3,0.08,16,0,0,0,0,11,0,0,0,0,national
2025,CO,08001,,549300PL8ER6H23P0Z91,,19,11,1,0.08,16,0,3,0,0,10,0,1,0,0,national
2025,CO,08001,,549300T7AIY7RU1YDP31,,18,11,3,0.08,13,5,0,0,0,7,4,0,0,0,national
2025,CO,08001,,549300T7HRS5DVBUPQ06,,19,11,1,0.08,11,8,0,0,0,5,6,0,0,0,national
2025,CO,08001,,254900HA4DQWAE0W3342,,16,10,2,0.07,5,10,1,0,0,3,7,0,0,0,national
2025,CO,08001,,5493000349C5XXDRQX28,,16,10,0,0.07,10,6,0,0,0,7,3,0,0,0,national
2025,CO,08001,,5493001YIUWLFRXQUO81,,12,10,2,0.07,4,8,0,0,0,3,7,0,0,0,national
2025,CO,08001,,5493006P5IHSK77SZ855,,11,10,0,0.07,7,4,0,0,0,6,4,0,0,0,national
2025,CO,08001,,549300A5HHOL2ED18C72,,16,10,2,0.07,15,1,0,0,0,9,1,0,0,0,national
2025,CO,08001,,549300GTVXJ2PGXNLM73,,12,10,0,0.07,6,5,1,0,0,5,4,1,0,0,national
2025,CO,08001,,549300LROQOOQU77WS20,,22,10,2,0.07,22,0,0,0,0,10,0,0,0,0,national
2025,CO,08001,,549300NWBS6MQJX15N44,,15,10,2,0.07,13,2,0,0,0,9,1,0,0,0,national
2025,CO,08001,,PAOOWF3GUFM46FBSP561,,47,10,6,0.07,22,23,2,0,0,5,4,1,0,0,national
2025,CO,08001,,5493000OM9RKJW8W5K82,,10,9,0,0.07,8,2,0,0,0,7,2,0,0,0,national
2025,CO,08001,,549300ZPSJZO10ZAX556,,13,9,0,0.07,13,0,0,0,0,9,0,0,0,0,national
2025,CO,08001,,8I3UVGYULPJQIP7FQV10,,19,9,9,0.07,19,0,0,0,0,9,0,0,0,0,national
2025,CO,08001,,254900E6AIE4Z8YQM970,,15,8,0,0.06,15,0,0,0,0,8,0,0,0,0,national
2025,CO,08001,,5493002Y5XYV7DV1ZV88,,12,8,0,0.06,10,2,0,0,0,7,1,0,0,0,national
2025,CO,08001,,5493004AS1SPBQOFDR49,,14,8,2,0.06,12,1,1,0,0,6,1,1,0,0,national
2025,CO,08001,,5493005PKOSG7MYX0B34,,13,8,2,0.06,4,6,3,0,0,3,3,2,0,0,national
2025,CO,08001,,5493009BD405QQTMXO12,,13,8,3,0.06,5,8,0,0,0,4,4,0,0,0,national
2025,CO,08001,,549300EKFFG3BU8DNX74,,20,8,1,0.06,20,0,0,0,0,8,0,0,0,0,national
2025,CO,08001,,549300MHH03ICJYEPE85,,9,8,0,0.06,1,8,0,0,0,1,7,0,0,0,national
2025,CO,08001,,549300PBTV7FCWLSMM53,,16,8,0,0.06,8,3,5,0,0,3,1,4,0,0,national
2025,CO,08001,,549300UR5AOWTJJ7KZ64,,9,8,0,0.06,9,0,0,0,0,8,0,0,0,0,national
2025,CO,08001,,549300Y5Y88FQLI7VE83,,17,8,5,0.06,17,0,0,0,0,8,0,0,0,0,national
2025,CO,08001,,SS1TRMSN6BRNMOREEV51,,20,8,4,0.06,16,3,1,0,0,6,2,0,0,0,national
2025,CO,08001,,254900RM3T6WAVE6SA24,,13,7,3,0.05,8,5,0,0,0,3,4,0,0,0,national
2025,CO,08001,,549300BX448ALT10FI43,,30,7,5,0.05,7,4,19,0,0,3,0,4,0,0,national
2025,CO,08001,,549300JPN8RD09QJ6366,,7,7,0,0.05,7,0,0,0,0,7,0,0,0,0,national
2025,CO,08001,,549300RA3E0BUFO7YZ21,,16,7,9,0.05,14,2,0,0,0,7,0,0,0,0,national
2025,CO,08001,,549300RU85PQV881NJ83,,14,7,6,0.05,14,0,0,0,0,7,0,0,0,0,national
2025,CO,08001,,549300RYWXR8TL5LIK35,,12,7,0,0.05,10,2,0,0,0,5,2,0,0,0,national
2025,CO,08001,,549300X7KG2H84UCP685,,8,7,0,0.05,6,1,1,0,0,6,1,0,0,0,national
2025,CO,08001,,549300XED7IBK9VVQH70,,9,7,0,0.05,8,1,0,0,0,7,0,0,0,0,national
2025,CO,08001,,254900A6XS8JBOVU9C33,,8,6,0,0.04,5,3,0,0,0,3,3,0,0,0,national
2025,CO,08001,,5493000NYUJT9UC6G261,,7,6,0,0.04,4,2,1,0,0,3,2,1,0,0,national
2025,CO,08001,,5493000YNV8IX4VD3X12,,109,6,52,0.04,108,0,1,0,0,5,0,1,0,0,national
2025,CO,08001,,5493002N80S5V3OY3S68,,8,6,0,0.04,5,1,2,0,0,4,1,1,0,0,national
2025,CO,08001,,5493004V3AW2SVUJ5U52,,6,6,0,0.04,6,0,0,0,0,6,0,0,0,0,national
2025,CO,08001,,549300SQRR7T3EUSDD87,,7,6,0,0.04,6,1,0,0,0,6,0,0,0,0,national
2025,CO,08001,,549300VQUTI5IU7GXT57,,8,6,0,0.04,3,3,2,0,0,3,1,2,0,0,national
2025,CO,08001,,2549005SIVTHG14U2905,,10,5,1,0.04,10,0,0,0,0,5,0,0,0,0,national
2025,CO,08001,,254900RQX8N4HXJIDK44,,6,5,0,0.04,3,3,0,0,0,3,2,0,0,0,national
2025,CO,08001,,5493001I7Z53NDBE4X59,,7,5,0,0.04,3,4,0,0,0,3,2,0,0,0,national
2025,CO,08001,,54930048P8RWCQHQM310,,9,5,2,0.04,9,0,0,0,0,5,0,0,0,0,national
2025,CO,08001,,5493006RIR31ORKYB608,,5,5,0,0.04,0,5,0,0,0,0,5,0,0,0,national
2025,CO,08001,,54930072OCHTUJOZQB56,,5,5,0,0.04,5,0,0,0,0,5,0,0,0,0,national
2025,CO,08001,,5493008ZTV4S0W9DCX64,,6,5,0,0.04,4,2,0,0,0,3,2,0,0,0,national
2025,CO,08001,,549300CK7U1WMTIG6687,,6,5,0,0.04,0,6,0,0,0,0,5,0,0,0,national
2025,CO,08001,,549300ESRQ6OLBB56N04,,5,5,0,0.04,5,0,0,0,0,5,0,0,0,0,national
2025,CO,08001,,549300GS0W0TEUQS8571,,9,5,0,0.04,9,0,0,0,0,5,0,0,0,0,national
2025,CO,08001,,549300HVW3AI97UKTO72,,6,5,1,0.04,6,0,0,0,0,5,0,0,0,0,national
2025,CO,08001,,549300LP0CV2MNC1GV68,,7,5,0,0.04,6,1,0,0,0,5,0,0,0,0,national
2025,CO,08001,,549300SUCQ1358EGVE89,,46,5,14,0.04,0,1,45,0,0,0,1,4,0,0,national
2025,CO,08001,,549300UB5TJ0YPVPT503,,5,5,0,0.04,4,1,0,0,0,4,1,0,0,0,national
2025,CO,08001,,549300XCVBRR56D08F03,,29,5,1,0.04,24,5,0,0,0,3,2,0,0,0,national
2025,CO,08001,,2549004Z576VEJBK3N72,,4,4,0,0.03,4,0,0,0,0,4,0,0,0,0,national
2025,CO,08001,,254900BMXWPEHXG4LF21,,8,4,3,0.03,5,3,0,0,0,2,2,0,0,0,national
2025,CO,08001,,254900CTT87ZKAUTIJ37,,4,4,0,0.03,4,0,0,0,0,4,0,0,0,0,national
2025,CO,08001,,337KMNHEWWWR6B7Q7W10,,6,4,0,0.03,5,1,0,0,0,3,1,0,0,0,national
2025,CO,08001,,54930015645SYPOM7220,,7,4,0,0.03,4,3,0,0,0,2,2,0,0,0,national
2025,CO,08001,,549300KHXD7JSQUZIJ22,,7,4,0,0.03,7,0,0,0,0,4,0,0,0,0,national
2025,CO,08001,,549300LZLYU85WF65870,,7,4,2,0.03,7,0,0,0,0,4,0,0,0,0,national
2025,CO,08001,,549300NFPC3Y4W3Y7R87,,5,4,0,0.03,1,4,0,0,0,0,4,0,0,0,national
2025,CO,08001,,549300QWJ3UDIX8KBP64,,4,4,0,0.03,4,0,0,0,0,4,0,0,0,0,national
2025,CO,08001,,549300R0SXC1JU7ZU290,,8,4,3,0.03,6,1,1,0,0,3,0,1,0,0,national
2025,CO,08001,,549300RYTR2RVL4SFJ90,,4,4,0,0.03,4,0,0,0,0,4,0,0,0,0,national
2025,CO,08001,,549300TMY3OACQC9U777,,5,4,0,0.03,5,0,0,0,0,4,0,0,0,0,national
2025,CO,08001,,L9VVX1KT5TFTKS0MLF66,,8,4,1,0.03,8,0,0,0,0,4,0,0,0,0,national
2025,CO,08001,,WKN6AF1FCL7BBYGTGI83,,5,4,1,0.03,5,0,0,0,0,4,0,0,0,0,national
2025,CO,08001,,WWB2V0FCW3A0EE3ZJN75,,8,4,0,0.03,1,4,3,0,0,0,2,2,0,0,national
2025,CO,08001,,2549007G9V4FYWWWDZ31,,5,3,0,0.02,3,1,1,0,0,2,0,1,0,0,national
2025,CO,08001,,254900DRSIZBQXDCJ875,,3,3,0,0.02,3,0,0,0,0,3,0,0,0,0,national
2025,CO,08001,,254900DSZI6CJXJL6Z14,,3,3,0,0.02,3,0,0,0,0,3,0,0,0,0,national
2025,CO,08001,,254900QRD0ZXHH08TX87,,4,3,1,0.02,3,1,0,0,0,2,1,0,0,0,national
